date,day,type,index_future,index_option,stock_future,stock_option
2020-07-30,Thursday,monthly,True,True,True,True
2020-08-06,Thursday,weekly,False,True,False,False
2020-08-13,Thursday,weekly,False,True,False,False
2020-08-20,Thursday,weekly,False,True,False,False
2020-08-27,Thursday,monthly,True,True,True,True
2020-09-03,Thursday,weekly,False,True,False,False
2020-09-10,Thursday,weekly,False,True,False,False
2020-09-17,Thursday,weekly,False,True,False,False
2020-09-24,Thursday,monthly,True,True,True,True
2020-10-01,Thursday,weekly,False,True,False,False
2020-10-08,Thursday,weekly,False,True,False,False
2020-10-15,Thursday,weekly,False,True,False,False
2020-10-22,Thursday,weekly,False,True,False,False
2020-10-29,Thursday,monthly,True,True,True,True
2020-11-05,Thursday,weekly,False,True,False,False
2020-11-12,Thursday,weekly,False,True,False,False
2020-11-19,Thursday,weekly,False,True,False,False
2020-11-26,Thursday,monthly,True,True,True,True
2020-12-03,Thursday,weekly,False,True,False,False
2020-12-10,Thursday,weekly,False,True,False,False
2020-12-17,Thursday,weekly,False,True,False,False
2020-12-24,Thursday,weekly,False,True,False,False
2020-12-31,Thursday,monthly,True,True,True,True
2021-01-07,Thursday,weekly,False,True,False,False
2021-01-14,Thursday,weekly,False,True,False,False
2021-01-21,Thursday,weekly,False,True,False,False
2021-01-28,Thursday,monthly,True,True,True,True
2021-02-04,Thursday,weekly,False,True,False,False
2021-02-11,Thursday,weekly,False,True,False,False
2021-02-18,Thursday,weekly,False,True,False,False
2021-02-25,Thursday,monthly,True,True,True,True
2021-03-04,Thursday,weekly,False,True,False,False
2021-03-10,Wednesday,weekly,False,True,False,False
2021-03-18,Thursday,weekly,False,True,False,False
2021-03-25,Thursday,monthly,True,True,True,True
2021-04-01,Thursday,weekly,False,True,False,False
2021-04-08,Thursday,weekly,False,True,False,False
2021-04-15,Thursday,weekly,False,True,False,False
2021-04-22,Thursday,weekly,False,True,False,False
2021-04-29,Thursday,monthly,True,True,True,True
2021-05-06,Thursday,weekly,False,True,False,False
2021-05-12,Wednesday,weekly,False,True,False,False
2021-05-20,Thursday,weekly,False,True,False,False
2021-05-27,Thursday,monthly,True,True,True,True
2021-06-03,Thursday,weekly,False,True,False,False
2021-06-10,Thursday,weekly,False,True,False,False
2021-06-17,Thursday,weekly,False,True,False,False
2021-06-24,Thursday,monthly,True,True,True,True
2021-07-01,Thursday,weekly,False,True,False,False
2021-07-08,Thursday,weekly,False,True,False,False
2021-07-15,Thursday,weekly,False,True,False,False
2021-07-22,Thursday,weekly,False,True,False,False
2021-07-29,Thursday,monthly,True,True,True,True
2021-08-05,Thursday,weekly,False,True,False,False
2021-08-12,Thursday,weekly,False,True,False,False
